bbl,address,borough,unitsres,rs_units,yearbuilt,bldgclass,wow_link
3065030083,909 EAST 5 STREET,BK,26,0,1927,C1,https://whoownswhat.justfix.org/bbl/3065030083
2031000018,765 GARDEN STREET,BX,20,0,1931,C6,https://whoownswhat.justfix.org/bbl/2031000018
1019020045,124 WEST 118 STREET,MN,11,0,1898,C5,https://whoownswhat.justfix.org/bbl/1019020045
3013200003,421 ROGERS AVENUE,BK,12,0,1907,C1,https://whoownswhat.justfix.org/bbl/3013200003
1013630027,444 EAST 52 STREET,MN,51,0,1929,D4,https://whoownswhat.justfix.org/bbl/1013630027
2032870043,2706 BAINBRIDGE AVENUE,BX,57,0,1922,C1,https://whoownswhat.justfix.org/bbl/2032870043
3000680107,165 SANDS STREET,BK,120,0,1902,D4,https://whoownswhat.justfix.org/bbl/3000680107
1006200067,242 WEST 4 STREET,MN,11,0,1884,C6,https://whoownswhat.justfix.org/bbl/1006200067
3019480040,91 CLIFTON PLACE,BK,22,0,1920,D5,https://whoownswhat.justfix.org/bbl/3019480040
1009110028,249 EAST 30 STREET,MN,12,0,1917,D5,https://whoownswhat.justfix.org/bbl/1009110028
1014450027,1315 1 AVENUE,MN,12,0,1915,C7,https://whoownswhat.justfix.org/bbl/1014450027
2028510014,14 MT HOPE PLACE,BX,54,0,1910,C5,https://whoownswhat.justfix.org/bbl/2028510014
3053600082,285 EAST 8 STREET,BK,16,0,1930,C1,https://whoownswhat.justfix.org/bbl/3053600082
1004410018,422 EAST 14 STREET,MN,19,0,1960,C7,https://whoownswhat.justfix.org/bbl/1004410018
1010660007,447 WEST 56 STREET,MN,20,0,1880,C4,https://whoownswhat.justfix.org/bbl/1010660007
2024010010,368 EAST 155 STREET,BX,16,0,1914,C1,https://whoownswhat.justfix.org/bbl/2024010010
